Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location
10150,2001,03/07/2002,Madison,167 FIVE FIELD RD,196200.00,435000.00,0.451034483,,,,,,
2020333,2020,05/25/2021,Wilton,27 VILLAGE WALK,192710.00,301000.00,0.6402,Residential,Condo,,,,
10975,2001,07/23/2002,Manchester,9 3 OAK FOREST DR,76500.00,139000.00,0.550359712,,,,,,
2020059,2020,11/02/2020,Wilton,72 GLEN VIEW,211890.00,334500.00,0.6334,Residential,Condo,,,,
2020121,2020,12/03/2020,Wilton,98 OLD BELDEN HILL RD,607250.00,830000.00,0.7316,Residential,Single Family,,,,
20188,2020,05/03/2021,Winchester,24 ROYER STREET,100450.00,200000.00,0.5022,Residential,Two Family,,,,
10120,2001,08/07/2002,Ashford,390 TURNPIKE RD,31170.00,264900.00,0.117667044,,,7,,,
200188,2020,04/21/2021,Windham,144 MAIN ST,100340.00,245000.00,0.4095,Commercial,,,,,
200211,2020,06/18/2021,Windsor Locks,67 SUFFIELD ST,116410.00,261000.00,0.446,Residential,Single Family,,,,
10878,2001,05/06/2002,Hartford,103 LEDGER ST,51170.00,134000.00,0.381865672,,,,,,
200012,2020,10/09/2020,Windsor Locks,7 DIBBLE HOLLOW,130550.00,198400.00,0.658,Residential,Condo,,,,
200392,2020,09/16/2021,Wolcott,11 ELRAE DR,228480.00,368500.00,0.62,Residential,Single Family,07 - Change in Property,NEW CONSTRUCTION,,
10022,2001,10/19/2001,Killingly,94 STONE RD,17630.00,26000.00,0.678076923,,,,,,
11035,2001,07/07/2002,Hartford,73-75 JAMES ST,80290.00,145750.00,0.550874786,,,,,,
10389,2001,07/03/2002,Avon,527 NEW RD,94520.00,199000.00,0.474974874,,,,,,
200177,2020,08/12/2021,Woodbridge,907 BALDWIN RD,343140.00,600000.00,0.5719,Residential,Single Family,,,,
10744,2001,02/21/2002,Danbury,45 POCONO LN 8,182200.00,334000.00,0.545508982,,,,,,
200080,2020,02/08/2021,Woodstock,6 FAWN RIDGE,54700.00,125000.00,0.4376,Residential,Condo,,,,
10703,2001,03/27/2002,Hartford,46-48 DEERFIELD AVE,58030.00,0.00,0,,,11,,,
200577,2020,06/02/2021,Enfield,23 COTTAGE RD,155200.00,229900.00,0.675,Residential,Single Family,25 - Other,GRANTOR HOLDS MORTGAGE,,POINT (-72.53819 42.02104)
20445,2020,08/12/2021,Bethel,75 ROCKWELL ROAD,252140.00,483000.00,0.522,Residential,Single Family,,,,POINT (-73.3837 41.38988)
200693,2020,03/09/2021,Danbury,10 BOUGHTON ST,246700.00,399000.00,0.6182,Residential,Three Family,,I14131,,
200210,2020,07/12/2021,Mansfield,156 HILLYNDALE RD,169400.00,345000.00,0.491,Residential,Single Family,,,,
200260,2020,04/27/2021,Avon,24 KING RICHARDS COURT,469820.00,672050.00,0.699,Residential,Single Family,,,,
200305,2020,01/26/2021,Enfield,15 SALERNO DR,233660.00,410000.00,0.5699,Residential,Single Family,,,,
20398,2020,02/04/2021,Hartford,135 FRANKLIN AVE & 34 STANDISH,229950.00,550000.00,0.418090909,Commercial,,24 - Plottage,,,
200789,2020,08/23/2021,Glastonbury,102 CHATHAM HILL RD,476500.00,767500.00,0.6208,Residential,Single Family,,,,
200772,2020,09/17/2021,Groton,30 SUNNYSIDE PARK,112840.00,265000.00,0.4258,Residential,Single Family,,,,POINT (-72.05687 41.35153)
201446,2020,07/20/2021,Greenwich,14 RIVERVIEW COURT,620480.00,965000.00,0.6429,Residential,Single Family,,,,
200507,2020,09/14/2021,Avon,15 COTTONWOOD DRIVE,96550.00,184900.00,0.5221,Residential,Condo,,,,POINT (-72.87917 41.77202)
2020108,2020,01/08/2021,Ansonia,145 PULASKI HWY,136100.00,269000.00,0.5059,Residential,Single Family,,,,POINT (-73.04455 41.33126)
200060,2020,04/06/2021,East Granby,8 MILLER ROAD,116900.00,215000.00,0.5437,Residential,Single Family,,,,
200544,2020,06/02/2021,Glastonbury,112 ABBEY RD,343800.00,612500.00,0.5613,Residential,Single Family,,,,
200226,2020,07/30/2021,Litchfield,104 MEADOW ST,122270.00,267500.00,0.457,Residential,Single Family,,,,POINT (-73.19105 41.74378)
200007,2020,11/04/2020,Lyme,23 HONEY HILL LANE,227149.00,530000.00,0.4285,Residential,Single Family,28 - Use Assessment,,,
20041,2020,06/14/2021,Franklin,189 KAHN RD,225990.00,380000.00,0.5947,Residential,Single Family,,,,POINT (-72.18625 41.59577)
20000009,2020,10/08/2020,Brookfield,35 INDIAN TRAIL,315430.00,660000.00,0.4779,Residential,Single Family,25 - Other,SOLD WITH 36A INDIAN TRAIL,,
20138,2020,05/12/2021,Burlington,33 FAWN HILL DR,238350.00,330000.00,0.7222,Residential,Single Family,,SENDING SALES VERIFICATION,,
20010,2020,12/01/2020,Colebrook,47 FLAGG HILL ROAD,203700.00,178000.00,1.1443,Residential,Single Family,25 - Other,SENT SALES VERIFICATION,,
200000324,2020,07/07/2021,Brookfield,30 GREAT HERON LN,327010.00,467000.00,0.7002,Residential,Condo,,,,POINT (-73.41341 41.49007)
201312,2020,08/26/2021,Griswold,17-19 SCHOOL RD,108430.00,150000.00,0.722866667,Residential,Two Family,07 - Change in Property,DUPLEX,RENOVATED ONE UNIT PER MLS - SEE PREVIOUS SALE #201127,
200221,2020,02/19/2021,Guilford,14 HAZEL RD,163820.00,301473.00,0.5433,Residential,Single Family,,,,POINT (-72.68639 41.32941)
200207,2020,08/25/2021,Essex,36 SAYBROOK RD,248400.00,462500.00,0.537,Residential,Single Family,,,,
200408,2020,12/24/2020,Danbury,15 SCUPPO RD 1503,130800.00,260000.00,0.503,Residential,Condo,,F14068-1503,,
201049,2020,07/23/2021,Manchester,36I MARJORIE LANE,106500.00,204000.00,0.522,Residential,Condo,,,,
200188,2020,02/02/2021,East Lyme,56 CARRIAGE HILL RD,146860.00,272500.00,0.5389,Residential,Single Family,,,,POINT (-72.22088 41.32678)
201129,2020,08/19/2021,Hartford,20 GIDDINGS ST,114954.00,360000.00,0.3193,Residential,Two Family,,,,
200930,2020,04/30/2021,Greenwich,19 PINTAIL LANE,1481130.00,2545000.00,0.581976424,Residential,Single Family,,,,POINT (-73.61643 41.03323)
20481,2020,08/30/2021,Bethel,7 DRUID LANE,54929.00,589294.00,0.093211538,Residential,Condo,07 - Change in Property,,,POINT (-73.57967 41.03446)
201234,2020,05/25/2021,Cromwell,11 BRITTANY CIRCLE,214690.00,355000.00,0.6047,Residential,Single Family,,,,POINT (-72.65784 41.61029)
200020,2020,04/26/2021,Bozrah,BRUSH HILL RD,41650.00,99000.00,0.4207,Vacant Land,,,,,
200076,2020,01/20/2021,East Windsor,ELLSWORTH RD,10460.00,149900.00,0.0697,Vacant Land,,24 - Plottage,INCL 2 PAR ON ELLSWORTH & 1 ON RYE ST,,
200622,2020,02/23/2021,Danbury,60 PADANARAM RD D23,126400.00,231400.00,0.5462,Residential,Condo,,G09096-23,,POINT (-73.46193 41.41661)
20000104,2020,12/14/2020,Brookfield,14 BRISTOL PATH UNIT #14,141730.00,215000.00,0.659209302,Residential,Condo,25 - Other,SOLD W/ GARAGE,,POINT (-73.39126 41.46692)
200223,2020,02/23/2021,Guilford,173 MIDDLE RD,162820.00,285000.00,0.5712,Residential,Single Family,,,,
2020133,2020,01/13/2021,Berlin,147 WOODHAVEN DRIVE,174600.00,339000.00,0.515,Residential,Single Family,,,,
200400,2020,12/28/2020,Manchester,42 LONGVIEW DRIVE,256300.00,470000.00,0.5453,Residential,Single Family,,,,
200574,2020,01/08/2021,Manchester,1076 TOLLAND TURNPIKE,116100.00,338376.00,0.3431,Commercial,,09 - Tax,TAX SALE / SALES PRICE INCLUDES 15 DEPOT STREET & 1082 TOLLAND TURNPIKE,,
2020046,2020,11/05/2020,Berlin,18 WINDING MEADOW DRIVE,194200.00,299900.00,0.6475,Residential,Single Family,,,,
200707,2020,09/10/2021,Farmington,75 PINNACLE RD,323480.00,650000.00,0.4976,Residential,Single Family,,CASH SALE ? NO MORTGAGE,,POINT (-72.83851 41.70204)
201148,2020,08/24/2021,Hartford,21 ELLIOTT ST,76918.00,280000.00,0.274707143,Residential,Three Family,,,,POINT (-72.67447 41.74625)
20000209,2020,03/18/2021,Brookfield,162 LONG MEADOW HILL RD,237840.00,375000.00,0.6342,Residential,Single Family,25 - Other,ESTATE,,POINT (-73.40103 41.5027)
200000382,2020,08/19/2021,Brookfield,10 MEADOW DR,223440.00,450000.00,0.4965,Residential,Single Family,,,,
20166,2020,01/25/2021,Darien,159 MIDDLESEX ROAD,693980.00,940000.00,0.7382,Residential,Single Family,,,,POINT (-73.49851 41.07618)
200013,2020,10/15/2020,Bloomfield,95 SPRINGWOOD LN,206640.00,285000.00,0.725,Residential,Single Family,,,,
200052,2020,11/25/2020,Colchester,308 WESTCHESTER RD,133900.00,315000.00,0.425,Residential,Single Family,07 - Change in Property,UNDER CONSTRUCTION,,
200052,2020,02/04/2021,Goshen,36 SANDY BEACH ROAD,211730.00,290000.00,0.730103448,Residential,Single Family,07 - Change in Property,current structure no value/ must be removed - PER MLS,PER MLS SALE IS FOR LAND - ASSESSMENT INCLUDES BUILDING,
200258,2020,12/31/2020,Enfield,61 CANDLEWOOD,94270.00,165900.00,0.5682,Residential,Single Family,,,,POINT (-72.55155 42.01004)
200256,2020,01/20/2021,Groton,28 TAUTOG ST,521430.00,903500.00,0.5771,Residential,Single Family,,,,POINT (-72.00969 41.30987)
200051,2020,11/02/2020,Madison,30 EVARTS LN,392900.00,629000.00,0.6246,Residential,Condo,,,,POINT (-72.59065 41.2798)
20191,2020,02/22/2021,Darien,31 PATRICIA LANE,646450.00,1180000.00,0.5478,Residential,Single Family,,,,POINT (-73.49067 41.0614)
201218,2020,07/15/2021,Danbury,55 MILL PLAIN RD 31-1,106300.00,236900.00,0.4487,Residential,Condo,,D15004-216,,
2000228,2020,05/24/2021,Bloomfield,92 ADAMS ROAD,170520.00,300000.00,0.5684,Residential,Single Family,,,,POINT (-72.74241 41.87381)
201254,2020,09/24/2021,Hartford,107 HENRY ST,110911.00,325000.00,0.3412,Residential,Three Family,,,,
200315,2020,05/06/2021,East Lyme,14 RIVER RD,334600.00,260000.00,1.2869,Residential,Single Family,07 - Change in Property,GUTTED INTERIOR SEPTIC EASEMENT FROM TOWN,,POINT (-72.19511 41.36834)
200739,2020,09/24/2021,Farmington,125 BIRDSEYE RD,155270.00,315000.00,0.4929,Residential,Single Family,,,,
200240,2020,03/23/2021,Madison,389 COUNTY RD,218500.00,200000.00,1.0925,Residential,Single Family,25 - Other,motivated seller,,POINT (-72.65238 41.40895)
200984,2020,07/06/2021,Manchester,41 STEELE FARM DRIVE,292500.00,530000.00,0.5518,Residential,Single Family,,,,
200129,2020,04/22/2021,Canton,61 SECRET LAKE ROAD,167910.00,280000.00,0.5996,Residential,Single Family,,,,POINT (-72.8789 41.81652)
200011,2020,10/01/2020,Bridgeport,116 BASSICK AVE,76090.00,148700.00,0.5117,Residential,Single Family,,,,POINT (-73.21096 41.17154)
200020,2020,12/08/2020,East Granby,96 KIMBERLY ROAD,187800.00,255000.00,0.736470588,Residential,Single Family,,"PP TOO LOW, RATIO TOO HIGH",GOOD SALE PER MLS - SOLD OVER ASKING,POINT (-72.75829 41.95346)
200061,2020,10/15/2020,Bristol,161 GRIDLEY ST,75530.00,90600.00,0.8336,Residential,Single Family,,,,POINT (-72.95425 41.66752)
200573,2020,07/29/2021,Farmington,44 GARDEN ST UNIT 9,86790.00,192000.00,0.452,Residential,Condo,,,,
200283,2020,04/12/2021,Guilford,2160 DURHAM RD,267710.00,300000.00,0.892366667,Residential,Single Family,18 - In Lieu Of Foreclosure,,ESTATE SALE. PER MLS HOUSE NEEDS EXTENSIVE RENOVATION.,
2020397,2020,09/03/2021,Berlin,639 HIGH RD,182300.00,322500.00,0.5652,Residential,Single Family,,,,POINT (-72.78772 41.63066)
200239,2020,07/30/2021,Mansfield,4 FEDERAL SQ,148400.00,249900.00,0.5938,Residential,Condo,,FREEDOM GREEN CONDOS,,
200704,2020,03/15/2021,Danbury,136 PEMBROKE RD 6-48,119200.00,175000.00,0.6811,Residential,Condo,,G05015-48,,POINT (-73.47537 41.45338)
200268,2020,04/06/2021,Madison,612 DURHAM RD,203700.00,400000.00,0.5092,Residential,Single Family,,,,POINT (-72.60892 41.32021)
200379,2020,03/26/2021,Glastonbury,40 SUMMERSWEET DR,99500.00,168000.00,0.5922,Residential,Condo,,,,POINT (-72.58729 41.72406)
2020313,2020,07/01/2021,Berlin,216 WATCH HILL RD,412000.00,677500.00,0.6081,Residential,Single Family,,,,
200483,2020,05/26/2021,Groton,150 ANCHORAGE CIR,343420.00,798000.00,0.4303,Residential,Single Family,,,,
200245,2020,11/18/2020,Greenwich,15 PALMGER STREET UN10,385000.00,610000.00,0.6311,Residential,Condo,,,,POINT (-73.59409 41.04514)
200004,2020,10/02/2020,Bristol,140 FERN HILL RD,138670.00,275000.00,0.5042,Residential,Single Family,,,,POINT (-72.94104 41.69381)
200086,2020,08/10/2021,Bethlehem,39 WOODLAND RD,168900.00,352000.00,0.4798,Residential,Single Family,,,,POINT (-73.18197 41.64672)
20847,2020,06/07/2021,Hartford,19 WHITMORE ST,145530.00,373500.00,0.3896,Apartments,,,,,
201049,2020,06/09/2021,Danbury,11 & 13 TAAGAN POINT RD,316400.00,350000.00,0.904,Residential,Single Family,01 - Family,FAMILY / 11 & 13 TAAGAN POINT RD,,POINT (-73.44583 41.43287)
20061,2020,10/30/2020,Farmington,23 JEFFREY DR,160020.00,250000.00,0.64,Residential,Single Family,,,,POINT (-72.81088 41.70596)
201501,2020,09/09/2021,Danbury,77 TOPSTONE DR,161000.00,360000.00,0.4472,Residential,Single Family,,L14050,,POINT (-73.42103 41.39532)
200422,2020,07/26/2021,Avon,16 PINE HILL ROAD,503430.00,1030900.00,0.4883,Residential,Single Family,,,,
20008,2020,11/05/2020,Colebrook,124 STILLMAN HILL ROAD,116600.00,243000.00,0.4798,Residential,Single Family,,,,
200195,2020,06/24/2021,Mansfield,10 FORT GRISWOLD,197100.00,227853.00,0.865,Residential,Condo,,VILLAGES@FREEDOM GREEN CONDOS,,
200091,2020,01/05/2021,Litchfield,43 NORFOLK RD,163640.00,75000.00,2.1818,Residential,Single Family,06 - Portion of Property,,,POINT (-73.19135 41.75989)
200586,2020,06/15/2021,Glastonbury,51 CONESTOGA WAY,114400.00,262000.00,0.4366,Residential,Condo,,,,POINT (-72.57476 41.69524)
201546,2020,08/05/2021,Greenwich,106 LOCKWOOD ROAD,2296000.00,3762500.00,0.6102,Residential,Single Family,,,,POINT (-73.5788 41.03742)
200665,2020,07/12/2021,Glastonbury,25 HALE RD,160500.00,300000.00,0.535,Residential,Single Family,25 - Other,ESTATE SALE,,POINT (-72.57235 41.69738)
200401,2020,05/28/2021,Farmington,1 PARTRIDGE LA,183360.00,311000.00,0.5895,Residential,Condo,,,,POINT (-72.88917 41.70118)
200532,2020,09/21/2021,Madison,9 HILLTOP DR,363800.00,415000.00,0.8766,Residential,Single Family,25 - Other,sale by exec of estate,,
201018,2020,06/03/2021,Danbury,55 FOREST AV,136900.00,150000.00,0.9126,Residential,Single Family,01 - Family,FAMILY TRANSFER / I11200,,
200901,2020,06/17/2021,Manchester,11 CHARIS ROAD,100500.00,182500.00,0.5506,Residential,Single Family,,,,POINT (-72.51198 41.80849)
201212,2020,06/17/2021,Greenwich,14 COS COB AVENUE,567770.00,1490000.00,0.381,Residential,Three Family,25 - Other,NOT LISTED,,
200506,2020,02/22/2021,Bristol,188 BROOK ST,106680.00,165000.00,0.6465,Residential,Single Family,,,,POINT (-72.90799 41.68328)
200763,2020,03/23/2021,Greenwich,31 SCOTT LANE,959910.00,1115000.00,0.8609,Residential,Single Family,,,,POINT (-73.63762 41.13994)
200267,2020,06/30/2021,Coventry,280 ROOT RD,92600.00,285000.00,0.324912281,Residential,Single Family,07 - Change in Property,,TOTAL RENOVATION PER MLS - SEE PREVIOUS SALE #200023,
201016,2020,05/14/2021,Greenwich,210 WEST LYON FARM DRIVE,918120.00,1400000.00,0.6558,Residential,Condo,,,,POINT (-73.65442 41.02708)
200287,2020,04/20/2021,East Lyme,35A SCOTT RD,206990.00,421000.00,0.4916,Residential,Single Family,,,,
201024,2020,07/19/2021,Manchester,32 HIGHLAND STREET,94900.00,162000.00,0.5858,Residential,Single Family,,,,POINT (-72.50296 41.76474)
200321,2020,12/21/2020,Bristol,172-174 GREENE ST,84980.00,114547.00,0.7418,Residential,Two Family,,,,POINT (-72.95558 41.6687)
201308,2020,09/28/2021,Manchester,34 COOLIDGE STREET,88400.00,184900.00,0.478,Residential,Single Family,,,,POINT (-72.54593 41.77194)
200526,2020,08/23/2021,Guilford,71 HIGHWOODS DR,265160.00,466000.00,0.569,Residential,Single Family,,,,POINT (-72.70499 41.31527)
201278,2020,09/07/2021,Bristol,268 DIVINITY ST UN 14 AKA 2-6,61460.00,125000.00,0.4916,Residential,Condo,,,,POINT (-72.95913 41.67051)
200048,2020,12/30/2020,Bethany,3 FAIRWOOD RD,290610.00,445000.00,0.653,Residential,Single Family,,,,POINT (-73.0074 41.42331)
200761,2020,03/23/2021,Greenwich,2 WIDGEON WAY,1242500.00,1875000.00,0.6626,Residential,Single Family,,,,POINT (-73.6148 41.0362)
20000078,2020,11/20/2020,Brookfield,12 BROOKFIELD MEADOWS,187170.00,345000.00,0.5425,Residential,Single Family,,,,
20513,2020,05/04/2021,East Hartford,90 PARK AVE,73340.00,180000.00,0.407444444,Residential,Single Family,07 - Change in Property,,COMPLETELY REHABBED PER MLS INCLUDING NEW REAR DECK,POINT (-72.63197 41.77971)
2020148,2020,02/02/2021,Berlin,48 CORNWALL ROAD,180200.00,296000.00,0.6087,Residential,Single Family,,,,POINT (-72.79196 41.64571)
200116,2020,03/12/2021,Essex,30 RIVER ROAD DR,428000.00,1080000.00,0.396296296,Residential,Single Family,,,GOOD SALE PER MLS,
20099,2020,02/11/2021,Derby,54-56 LAKEVIEW TERR,146580.00,315000.00,0.4653,Residential,Two Family,,,,POINT (-73.10932 41.33305)
200054,2020,10/27/2020,East Lyme,38 HOPE ST  #4,149450.00,249900.00,0.598,Residential,Condo,,,,POINT (-72.19557 41.32434)
2020098,2020,12/15/2020,Berlin,233 LINCOLN STREET,142700.00,259000.00,0.5509,Residential,Single Family,,,,
20004,2020,10/13/2020,Lebanon,88 LAKESIDE DR,175540.00,250000.00,0.7021,Residential,Single Family,,,,POINT (-72.23248 41.55462)
200394,2020,03/15/2021,Enfield,72 WYNWOOD DR,91680.00,160000.00,0.573,Residential,Condo,,,,POINT (-72.56823 41.94712)
200853,2020,06/04/2021,Manchester,7 LINCOLN STREET,84200.00,150000.00,0.5613,Residential,Single Family,,,,
200106,2020,11/13/2020,Glastonbury,50 PENWOOD XING,585700.00,985000.00,0.5946,Residential,Single Family,,,,
20376,2020,06/24/2021,Bethel,23 GREAT HILL DRIVE,119832.00,619423.00,0.1934,Residential,Condo,07 - Change in Property,,,
2000490,2020,08/30/2021,Cheshire,11 HILLTOP RD,186320.00,242500.00,0.7683,Residential,Single Family,14 - Foreclosure,,,
20000172,2020,02/16/2021,Brookfield,129 NORTH LAKE SHORE DR,230610.00,500000.00,0.4612,Residential,Single Family,,,,
200106,2020,12/02/2020,East Lyme,25 REGATTA DR,313810.00,425000.00,0.7383,Residential,Condo,,,,
200354,2020,06/01/2021,Madison,113 SPORTSMANS HILL RD,185700.00,410000.00,0.4529,Residential,Single Family,,,,
201289,2020,08/02/2021,Danbury,1 LAKEVIEW TL,139300.00,230000.00,0.6056,Residential,Single Family,,G03056,,POINT (-73.4703 41.45416)
201006,2020,10/06/2020,Griswold,148 MATHEWSON STREET UNIT 401,89600.00,155000.00,0.578064516,Residential,Condo,,,,POINT (-71.9816 41.61047)
201260,2020,09/02/2021,Bristol,216 WILDERNESS WAY,201530.00,375000.00,0.5374,Residential,Single Family,,,,
201072,2020,07/30/2021,Manchester,104 PEILA DRIVE,129200.00,270000.00,0.4785,Residential,Single Family,,,,
2020222,2020,04/12/2021,Berlin,41 KENTON ST,168300.00,240000.00,0.7012,Residential,Single Family,,,,POINT (-72.78085 41.62499)
200189,2020,12/04/2020,Enfield,1 ARTHUR AVE,102970.00,188000.00,0.5477,Residential,Single Family,,,,
200080,2020,05/20/2021,Columbia,420 ROUTE 66 SOUTH,41000.00,65000.00,0.6307,Vacant Land,,,,,POINT (-72.33775 41.67759)
20855,2020,06/08/2021,Hartford,53 CONGRESS ST #053C,37595.00,78000.00,0.4819,Residential,Condo,,,,POINT (-72.67607 41.75351)
20138,2020,04/05/2021,Derby,3A SILVER HILL CONDO,50960.00,86000.00,0.5925,Residential,Condo,,,,POINT (-73.11004 41.34147)
200559,2020,07/22/2021,Farmington,100 WOODRUFF RD,196170.00,422000.00,0.4648,Residential,Single Family,,,,
20000029,2020,10/20/2020,Brookfield,40 LEDGEWOOD DR,166530.00,300000.00,0.5551,Residential,Condo,,,,POINT (-73.39218 41.46363)
