Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location
200099,2020,07/06/2021,Harwinton,70 OAKWOOD DR,349570.00,732500.00,0.4772,Residential,Single Family,,,,POINT (-73.07022 41.78565)
200758,2020,05/04/2021,Bristol,17 MILLS ST,103390.00,245000.00,0.422,Residential,Two Family,,,,
200158,2020,11/30/2020,Branford,50 MANORWOOD DR,108300.00,162020.00,0.6684,Residential,Condo,,,,POINT (-72.79886 41.29156)
200555,2020,06/30/2021,East Haven,36 VERA ST,47780.00,45000.00,1.0617,Vacant Land,,,,,
200056,2020,11/03/2020,Cheshire,10 ROCKVIEW DR,199620.00,345900.00,0.5771,Residential,Single Family,,,,POINT (-72.91814 41.47362)
20080,2020,07/29/2021,Barkhamsted,28 WARNER RD,167170.00,360000.00,0.4643,Residential,Single Family,,"1973 Colonial, 2080 SFLA, 2.29 AC",,POINT (-72.93816 41.90272)
200326,2020,12/08/2020,Manchester,75 BRETTON ROAD,97700.00,183100.00,0.5335,Residential,Single Family,,,,POINT (-72.50215 41.79012)
200534,2020,07/14/2021,Farmington,3 TERRIE RD,127000.00,187400.00,0.6776,Residential,Single Family,,CASH SALE ? NO MORTGAGE,,
20142,2020,12/31/2020,Darien,15 PATTON DRIVE,472850.00,760000.00,0.6221,Residential,Single Family,,,,POINT (-73.50089 41.07002)
201212,2020,05/19/2021,Griswold,132 MACKIN DR,9660.00,13089.00,0.738,Vacant Land,,09 - Tax,TAX SALE,,
201266,2020,09/16/2021,Manchester,13-1 OAK FOREST DRIVE,93700.00,210000.00,0.4461,Residential,Condo,,,,
200020,2020,10/09/2020,Glastonbury,133 HOLLISTER WAY N,91100.00,176000.00,0.5176,Residential,Condo,,,,POINT (-72.60548 41.6855)
20456,2020,07/01/2021,Darien,18 WEE BURN LANE,2317840.00,3795000.00,0.6107,Residential,Single Family,,,,POINT (-73.49859 41.08575)
200068,2020,01/08/2021,East Windsor,70 GRIFFIN RD,188280.00,366000.00,0.5144,Residential,Single Family,,,,
200282,2020,04/15/2021,Madison,3 ALLISON DR,547900.00,825000.00,0.6641,Residential,Single Family,07 - Change in Property,improved after 10/1/2020,,
200600,2020,07/27/2021,East Haven,43 PROSPECT PL EXT,101680.00,125000.00,0.8134,Residential,Single Family,,,,
20159,2020,11/19/2020,Hartford,16 AMHERST ST,45745.00,180000.00,0.2541,Residential,Single Family,,,,POINT (-72.69505 41.73012)
200604,2020,08/05/2021,Farmington,46 FLORENCE WAY,227360.00,335000.00,0.6786,Residential,Condo,,,,POINT (-72.88607 41.70047)
20965,2020,07/02/2021,Hartford,86 GRANT ST,56192.00,160000.00,0.3512,Residential,Single Family,,,,POINT (-72.71284 41.72889)
200374,2020,05/10/2021,Farmington,8-A LYLE CT,120570.00,170000.00,0.7092,Residential,Condo,,,,
2020020,2020,10/21/2020,Ansonia,75 WEBB TERR,103000.00,186000.00,0.5537,Residential,Single Family,,,,
200026,2020,10/08/2020,Branford,93 HAMPTON PARK,101500.00,140000.00,0.725,Residential,Condo,,,,
200688,2020,04/15/2021,Bristol,38 EASTWOOD RD,213150.00,406000.00,0.525,Residential,Single Family,,,,POINT (-72.95909 41.70331)
20551,2020,03/22/2021,Hartford,181 ANDOVER ST,42980.00,170000.00,0.2528,Residential,Single Family,,,,POINT (-72.70449 41.7964)
201339,2020,09/20/2021,Bristol,1175 FARMINGTON AVE,9098880.00,29300000.00,0.3105,Apartments,,,,,POINT (-72.90381 41.69744)
200409,2020,12/30/2020,Manchester,36 COLLINGRIDGE DRIVE & 40 COL,77000.00,65000.00,1.1846,Vacant Land,,25 - Other,TWO PROPERTIES ONE SALES PRICE,,
200236,2020,03/18/2021,East Lyme,8 N EDGEWOOD RD,238140.00,421000.00,0.5656,Residential,Single Family,,,,
201173,2020,04/27/2021,Griswold,23 SOUTH MAIN ST UNIT 4,49420.00,969000.00,0.051,Residential,Condo,25 - Other,"CONDO'S 1,2,3,4,5,6,8,9,10,11,12,13,14 ALL SOLD TOGETHER",,
201121,2020,08/17/2021,Hartford,118 NORTH BEACON ST,142481.00,460000.00,0.3097,Residential,Single Family,,,,POINT (-72.7151 41.76991)
201604,2020,09/29/2021,Danbury,WEST KENOSIA AV,94700.00,119995.00,0.7891,Residential,Single Family,,AKA 28 CHERRYFIELD DR / MOBILE HOME,,
201267,2020,07/27/2021,Danbury,17 CHEROKEE DR,197100.00,357000.00,0.5521,Residential,Single Family,,D06089,,POINT (-73.50454 41.43843)
20586,2020,08/30/2021,Darien,34 RICHMOND DRIVE,1120070.00,1810000.00,0.6188,Residential,Single Family,,,,POINT (-73.45774 41.09046)
200930,2020,09/24/2021,Enfield,17 DALE RD,112200.00,155000.00,0.7238,Residential,Single Family,25 - Other,SOLD AS IS,,POINT (-72.56195 41.97285)
200208,2020,01/13/2021,East Haven,46 WHEATON RD,128070.00,134800.00,0.950074184,Residential,Single Family,14 - Foreclosure,,SALE OF A FORECLOSED PROPERTY,POINT (-72.85909 41.25815)
200350,2020,03/24/2021,Groton,43B GEORGE AVE,40880.00,78000.00,0.5241,Residential,Condo,,,,POINT (-72.07276 41.3458)
20545,2020,05/17/2021,East Hartford,160 MANOR CIR,90190.00,215000.00,0.4194,Residential,Single Family,07 - Change in Property,,,POINT (-72.58933 41.73226)
20010,2020,10/05/2020,East Hartford,22 LIVINGSTON RD,84730.00,105000.00,0.8069,Residential,Single Family,14 - Foreclosure,,,
200769,2020,08/18/2021,Glastonbury,969 HEBRON AVE,636500.00,1050000.00,0.6061,Commercial,,,,,POINT (-72.57508 41.71701)
2020109,2020,12/21/2020,Berlin,117 WINDY KNOLL DRIVE,161200.00,305000.00,0.5285,Residential,Single Family,,,,
20088,2020,11/09/2020,Farmington,37 PRATTLING POND RD,562910.00,1025000.00,0.5491,Residential,Single Family,,,,POINT (-72.80867 41.72761)
200236,2020,02/11/2021,Farmington,27 BALDWIN DRIVE,244440.00,365000.00,0.6696,Residential,Single Family,,,,
20037,2020,11/16/2020,Burlington,25 SUMMIT DRIVE,112980.00,191000.00,0.591518325,Residential,Single Family,08 - Part Interest,ONE HALF OF PROPERTY SALE,,
200049,2020,10/20/2020,Glastonbury,250 TALL TIMBERS RD,262200.00,410000.00,0.6395,Residential,Single Family,,,,
20558,2020,05/19/2021,East Hartford,235 EAST RIVER DR #806,174450.00,275000.00,0.6343,Residential,Condo,,,,POINT (-72.66274 41.76497)
2000452,2020,07/30/2021,Cheshire,85 ORLETON CT,256210.00,478000.00,0.536,Residential,Single Family,,,,POINT (-72.92042 41.54022)
200121,2020,03/23/2021,Essex,33 PROSPECT ST,892800.00,1050000.00,0.8502,Residential,Single Family,25 - Other,ESTATE,,POINT (-72.39263 41.3534)
200605,2020,07/02/2021,Branford,143 PHEASANT LA,148100.00,240700.00,0.6152,Residential,Condo,,,,
200556,2020,02/25/2021,Manchester,205 NORTH ELM STREET,76600.00,102000.00,0.750980392,Residential,Single Family,14 - Foreclosure,COMMITTEE DEED,,
200093,2020,10/19/2020,Greenwich,351 PEMBERWICK ROAD UN818,230300.00,385000.00,0.5981,Residential,Single Family,,,,POINT (-73.66574 41.0349)
200586,2020,03/02/2021,Manchester,95 MIDDLE TURNPIKE WEST # A6,49600.00,46000.00,1.07826087,Residential,Condo,,,NO MLS,POINT (-72.52775 41.78292)
200337,2020,03/08/2021,Branford,6 CEDAR PARK,54400.00,110000.00,0.4945,Residential,Condo,,,,
200766,2020,03/25/2021,Greenwich,143 OTTER ROCK DRIVE,3140970.00,5437500.00,0.5776,Residential,Single Family,,,,POINT (-73.63637 41.00762)
200138,2020,12/22/2020,Madison,59 HOTCHKISS LN,732900.00,1750000.00,0.4188,Residential,Single Family,,,,
200059,2020,11/24/2020,Coventry,534 SILVER ST,130400.00,435000.00,0.2997,Residential,Single Family,28 - Use Assessment,"AND 15/10/6-STUB, DEF MNTNC, ADMINISTRATOR'S DEED",,
200208,2020,07/26/2021,East Windsor,122 WELLS RD,79790.00,158900.00,0.5021,Residential,Single Family,,,,POINT (-72.56943 41.9203)
201345,2020,07/06/2021,Greenwich,13 EDGEWATER DRIVE,975520.00,2000316.00,0.4876,Residential,Single Family,,,,
20398,2020,06/10/2021,Darien,15 EDGERTON STREET,525560.00,1387500.00,0.378781982,Residential,Single Family,07 - Change in Property,addition/renovation-partial complete on 10/1/20,,
201328,2020,08/06/2021,Cromwell,6 BELHAVEN,410670.00,740000.00,0.5549,Residential,Condo,,,,
200600,2020,02/16/2021,Danbury,31-37 HOSPITAL AV,1925000.00,1800000.00,1.0694,Commercial,,25 - Other,RATIO TOO HIGH / J12006,,
200238,2020,11/18/2020,Danbury,15 WOOD ST,186400.00,350000.00,0.5325,Residential,Single Family,,I09102,,POINT (-73.45311 41.42084)
20125,2020,11/09/2020,Hartford,132 CLEVELAND AVE,13020.00,19000.00,0.6852,Vacant Land,,,,,
20152,2020,08/30/2021,Lebanon,138 RANDALL RD,152360.00,317000.00,0.4806,Residential,Single Family,,,,POINT (-72.23061 41.58643)
200067,2020,01/13/2021,Mansfield,113 HIGHLAND RD,187700.00,375000.00,0.5005,Residential,Single Family,,,,POINT (-72.24851 41.74218)
200045,2020,02/04/2021,Bethlehem,2 HIGHLAND RD,96400.00,196000.00,0.4918,Residential,Single Family,,,,POINT (-73.20417 41.6535)
201081,2020,08/02/2021,Manchester,190 MAIN STREET UNIT A,118200.00,203000.00,0.5822,Residential,Condo,,,,
201064,2020,06/15/2021,Danbury,27 NO NABBY RD,233100.00,475000.00,0.4907,Residential,Single Family,,L05011,,POINT (-73.42446 41.43019)
200069,2020,11/30/2020,Bloomfield,25 HUBBARD STREET,81620.00,175000.00,0.4664,Residential,Single Family,,,,POINT (-72.69688 41.80886)
200323,2020,05/05/2021,Guilford,147 WHISPERING WOODS RD,453400.00,1027700.00,0.4411,Residential,Single Family,,,,
20874,2020,06/14/2021,Hartford,196 RUSS ST,77029.00,247000.00,0.3118,Residential,Three Family,,,,
200821,2020,08/16/2021,Enfield,38 ALOHA DR,112040.00,245000.00,0.4573,Residential,Single Family,,,,
200129,2020,08/09/2021,Beacon Falls,300 PINESBRIDGE ROAD,199950.00,345000.00,0.5795,Residential,Single Family,,,,POINT (-73.08509 41.43037)
200580,2020,02/03/2021,Greenwich,41 GROSSETT ROAD,3013570.00,5400000.00,0.558068519,Residential,Single Family,,,,POINT (-73.58151 41.02151)
200174,2020,04/19/2021,Coventry,349 RILEY MOUNTAIN RD,258900.00,429900.00,0.6022,Residential,Single Family,,,,POINT (-72.33003 41.8048)
200361,2020,05/03/2021,Farmington,15 DUNHAM LA,582770.00,800000.00,0.7284,Residential,Single Family,,,,POINT (-72.82159 41.71491)
200114,2020,11/17/2020,Guilford,23 WILLIAMSBURG CIRCLE,267180.00,455000.00,0.5872,Residential,Single Family,,,,
200461,2020,08/16/2021,Avon,55 CHIDSEY ROAD,467310.00,729000.00,0.641,Residential,Single Family,,,,
20518,2020,03/10/2021,Hartford,"57 JOHN ST #003N, 57 JOHN ST #",79100.00,262500.00,0.3013,Residential,Condo,24 - Plottage,,,POINT (-72.67663 41.75894)
20276,2020,01/08/2021,East Hartford,202 GREENWOOD ST,89130.00,167900.00,0.5308,Residential,Single Family,,,,POINT (-72.60136 41.74158)
20197,2020,12/08/2020,East Hartford,316 FORBES ST,104480.00,190000.00,0.5498,Residential,Single Family,,,,
200528,2020,06/14/2021,Groton,83 NEW LONDON RD,118930.00,295000.00,0.4031,Residential,Single Family,,,,POINT (-71.98476 41.35359)
20573,2020,03/30/2021,Hartford,52 RUSS ST,146300.00,233333.00,0.627,Commercial,,25 - Other,TRUSTEE DEED,,
200406,2020,08/06/2021,Killingly,341 BREAKNECK HILL RD,30520.00,45000.00,0.6782,Vacant Land,,,,,
200313,2020,12/03/2020,Danbury,11 EDGEWATER CI,216600.00,385000.00,0.5625,Residential,Condo,,K13180-11,,POINT (-73.42737 41.40311)
200480,2020,05/25/2021,Groton,55 CROWN KNOLL CT S87,49350.00,117000.00,0.4217,Residential,Condo,,,,POINT (-72.05604 41.36878)
20000140,2020,01/19/2021,Brookfield,53 MERWIN BROOK RD,317150.00,570000.00,0.556403509,Residential,Single Family,,,,POINT (-73.37526 41.48345)
200055,2020,12/14/2020,Canton,30 LAWTON ROAD,304290.00,550000.00,0.5532,Residential,Single Family,,,,
200056,2020,10/14/2020,Bristol,34 CHIPPENWOOD LA,233520.00,370000.00,0.6311,Residential,Single Family,,,,POINT (-72.98758 41.70124)
20355,2020,02/16/2021,East Hartford,95 PARK AVE,106060.00,211000.00,0.5026,Residential,Single Family,07 - Change in Property,,,POINT (-72.63198 41.77971)
200524,2020,09/27/2021,Avon,126 NEW ROAD,459190.00,816000.00,0.5627,Residential,Single Family,,,,POINT (-72.92162 41.79937)
11032,2001,07/01/2002,Milford,101 E BROADWAY UB,61110.00,125000.00,0.48888,,,,,,
20043,2020,03/04/2021,Bolton,70 FRENCH RD,72400.00,79900.00,0.9061,Vacant Land,,25 - Other,NOT ARMS LENGTH,,POINT (-72.44752 41.75174)
201570,2020,09/23/2021,Danbury,5 NABBY RD A-34,38400.00,95000.00,0.4042,Residential,Condo,,L08018-34,,
200401,2020,06/29/2021,Madison,61 LIBERTY ST,386300.00,775000.00,0.4984,Residential,Single Family,,,,POINT (-72.58002 41.27523)
20029,2020,11/17/2020,Lebanon,105 LAKESIDE DR,74710.00,99500.00,0.7508,Residential,Single Family,,,,POINT (-72.2317 41.55451)
200137,2020,04/26/2021,Mansfield,10 VALLEY VIEW DR,24700.00,49900.00,0.4949,Residential,Single Family,,JENSENS MOBILE HOME PARK 55+,,POINT (-72.27637 41.82072)
200320,2020,05/10/2021,East Lyme,9 FREEDOM WAY,776230.00,1525000.00,0.509,Commercial,,,,,POINT (-72.24486 41.32183)
200020,2020,10/07/2020,Killingly,24 TAOS DR,107520.00,51780.00,2.0764,Residential,Single Family,01 - Family,,,
200480,2020,01/11/2021,Greenwich,313 WEST LYON FARM DRIVE,705950.00,1050000.00,0.6723,Residential,Single Family,,,,
200172,2020,11/12/2020,Bristol,361 DIVINITY ST,358120.00,223000.00,1.6059,Residential,Four Family,26 - Rehabilitation Deferred,REHAB DEFERRED,,
201312,2020,07/26/2021,Cromwell,24 DOGWOOD COURT,87780.00,125000.00,0.7022,Residential,Condo,25 - Other,PRIVATE SALE,,
20061,2020,12/21/2020,Derby,46-48 SPRING ST,167300.00,225000.00,0.7435,Residential,Two Family,,,,POINT (-73.09091 41.3346)
200648,2020,07/22/2021,Branford,83 FLAT ROCK RD,277100.00,550000.00,0.5038,Residential,Single Family,,,,
200492,2020,06/30/2021,Farmington,80 YORKSHIRE COURT,120120.00,465352.00,0.2581,Residential,Condo,07 - Change in Property,NEW CONSTRUCTION 45% complete 10/1/2020,,
200058,2020,10/21/2020,Branford,26 POMPANO AVE,175900.00,265000.00,0.6637,Residential,Single Family,,,,
200078,2020,03/01/2021,Killingworth,19 BEAR PATH LANE,342740.00,660000.00,0.5193,Residential,Single Family,28 - Use Assessment,,,
200752,2020,08/09/2021,Glastonbury,1326 HEBRON AVE,58500.00,501000.00,0.1167,Residential,Single Family,07 - Change in Property,NC  CO = 7/22/2021,,
200510,2020,06/07/2021,Groton,44 NANTUCKET DR,103110.00,250000.00,0.41244,Residential,Single Family,,,,
200527,2020,05/17/2021,Enfield,46 SAPPHIRE ST,123730.00,250000.00,0.4949,Residential,Single Family,,,,POINT (-72.53125 41.94601)
2020006,2020,10/06/2020,Ansonia,11 HUGHES CIR,115800.00,250000.00,0.4632,Residential,Condo,,"HIGH SALE, RES CONDO RANCH STYLE IN PLANNED COMMUNITY",,
200243,2020,04/13/2021,Avon,111 NORTHINGTON DRIVE,619290.00,890000.00,0.6958,Residential,Single Family,,,,
201295,2020,09/09/2021,Bristol,609 CAMP ST,144340.00,249900.00,0.5775,Residential,Single Family,,,,
200116,2020,12/14/2020,Avon,24 LAWRENCE AVENUE,185760.00,299000.00,0.6212,Residential,Single Family,,,,
2020288,2020,07/27/2021,Ansonia,91 FOURTH ST UNIT 29,22100.00,70000.00,0.315714286,Residential,Condo,,,NO MLS,POINT (-73.08112 41.35269)
200040,2020,11/03/2020,East Haddam,142 NEWBERY RD,175350.00,275000.00,0.6376,Residential,Single Family,,,,
201012,2020,07/20/2021,Hartford,121 BUSHNELL ST,87612.00,266000.00,0.3293,Residential,Three Family,,,,
200161,2020,03/29/2021,Coventry,MASON ST,35000.00,24000.00,1.4583,Vacant Land,,25 - Other,"O/62/17 SOLD TO ABUTTER, HAS OTBLDG",,
200274,2020,11/25/2020,Manchester,24 NEWMAN STREET,124700.00,313000.00,0.3984,Residential,Three Family,,,,POINT (-72.52883 41.77402)
201156,2020,06/09/2021,Greenwich,273 VALLEY ROAD,590450.00,1295000.00,0.4559,Residential,Single Family,25 - Other,TEAR DOWN SALE,,
200219,2020,06/02/2021,Colchester,87 COLCHESTER COMMONS,48800.00,113400.00,0.4303,Residential,Single Family,,MOBILE HOME,,POINT (-72.28519 41.58705)
200406,2020,07/01/2021,Madison,32 LAKEWOOD DR,288200.00,372500.00,0.773691275,Residential,Single Family,25 - Other,sale by exec of estate,,POINT (-72.66656 41.40408)
200066,2020,03/17/2021,Goshen,6 NORTH STREET,350820.00,385000.00,0.9112,Residential,Single Family,,,,POINT (-73.22558 41.83199)
200593,2020,09/28/2021,Guilford,312 EAST RIVER RD,279900.00,779000.00,0.359306804,Residential,Single Family,07 - Change in Property,,PER MLS HOUSE HAS 3 FULL BATHS AND SPLIT SYSTEM CENTRAL A/C,
200650,2020,02/19/2021,Greenwich,8 MARY LANE,463680.00,728000.00,0.6369,Residential,Single Family,,,,POINT (-73.5769 41.04605)
200057,2020,12/16/2020,Canton,79 GRACEY ROAD,363740.00,549900.00,0.6614,Residential,Single Family,,,,
20060,2020,10/29/2020,Darien,5 CLOCKS LANE,2372440.00,2950000.00,0.8042,Residential,Single Family,,,,
200190,2020,04/20/2021,Cromwell,34 CLUBHOUSE DRIVE,118860.00,135000.00,0.8804,Residential,Condo,25 - Other,ESTATE,,POINT (-72.68789 41.60496)
200098,2020,09/08/2021,Bethlehem,80 WEEKEEPEEMEE RD,151700.00,300000.00,0.5056,Residential,Single Family,,,,POINT (-73.22627 41.61742)
200298,2020,08/02/2021,Coventry,2461 MAIN ST,88300.00,145000.00,0.6089,Residential,Single Family,,,,
200568,2020,06/16/2021,Branford,226 NO MAIN ST,235500.00,520000.00,0.4528,Industrial,,,,,POINT (-72.82277 41.27773)
200594,2020,02/16/2021,Danbury,8 HICKORY ST,121600.00,146216.00,0.831646331,Residential,Single Family,25 - Other,I11192,HOUSE HAS SETTLED PER MLS,POINT (-73.44696 41.41179)
200487,2020,08/02/2021,Guilford,65 BONNIE BRIAR LN,188160.00,277000.00,0.6792,Residential,Single Family,,,,
20496,2020,03/05/2021,Hartford,100 WELLS ST #R810 & 100 WELLS,25515.00,95000.00,0.2685,Residential,Condo,24 - Plottage,,,
20319,2020,05/11/2021,Darien,6 ROCK SPRING LANE,816690.00,1655000.00,0.4934,Residential,Single Family,,,,POINT (-73.47395 41.08263)
201341,2020,07/06/2021,Greenwich,17 SAINT CLAIRE AVENUE,1050420.00,2200000.00,0.4774,Residential,Single Family,,,,POINT (-73.56362 41.02508)
200413,2020,03/24/2021,Enfield,7 FOXCROFT RD,113200.00,210000.00,0.539,Residential,Single Family,,,,
200056,2020,10/26/2020,East Haven,55 THOMPSON ST #10B,76440.00,147500.00,0.518237288,Residential,Condo,07 - Change in Property,,TOTAL RENOVATION PER MLS - SEE PREVIOUS SALE #1900428,
200239,2020,11/17/2020,Greenwich,11 PARTRIDGE HOLLOW ROAD,3018960.00,5250000.00,0.575,Residential,Single Family,,,,POINT (-73.68026 41.11023)
20180,2020,01/21/2021,Bethel,18 CHIPMUNK TERRANCE  16C,116760.00,218500.00,0.5343,Residential,Condo,01 - Family,,,
200020,2020,10/06/2020,Groton,98 EAST SHORE AVE,654570.00,990000.00,0.661181818,Residential,Single Family,07 - Change in Property,TEAR DOWN,,POINT (-72.00446 41.31252)
200780,2020,08/20/2021,Glastonbury,580 GRISWOLD ST,146500.00,276000.00,0.5307,Residential,Single Family,25 - Other,ESTATE SALE,,POINT (-72.59051 41.72557)
200218,2020,11/12/2020,Danbury,85 TOWN HILL AVE,177300.00,146000.00,1.2143,Residential,Two Family,01 - Family,FAMILY TRANSFER / J14046,,POINT (-73.44575 41.39341)
200508,2020,09/15/2021,Avon,6 IRON FORGE,198120.00,343500.00,0.5767,Residential,Condo,,,,POINT (-72.81334 41.80744)
200476,2020,06/24/2021,Farmington,1658-6 FARMINGTON AV,64900.00,120000.00,0.5408,Residential,Condo,,,,
20141,2020,11/16/2020,Hartford,16 TOWNLEY #00E2,11830.00,50000.00,0.2366,Residential,Condo,,,,POINT (-72.69573 41.77199)
200007,2020,10/07/2020,Bethany,123 LITCHFIELD TPKE,312630.00,497000.00,0.629034205,Residential,Single Family,,,,POINT (-72.97413 41.40117)
200033,2020,12/23/2020,Goshen,314 SHARON TURNPIKE,193060.00,285000.00,0.6774,Residential,Single Family,,,,
200697,2020,07/21/2021,Glastonbury,81 CHURCH HILL RD,391200.00,776250.00,0.5039,Residential,Single Family,,,,
200385,2020,03/30/2021,Glastonbury,48 BRITTANY RD,178500.00,367000.00,0.4863,Residential,Single Family,,,,
20622,2020,06/15/2021,East Hartford,220 JERRY RD,100590.00,230000.00,0.4373,Residential,Single Family,,,,POINT (-72.62938 41.7269)
200752,2020,09/08/2021,Branford,116 FOXBRIDGE VILLAGE,122400.00,232500.00,0.526451613,Residential,Condo,,,,
2000514,2020,09/13/2021,Cheshire,125 CEDAR LANE,200430.00,362000.00,0.553674033,Residential,Single Family,,,,POINT (-72.89346 41.5143)
20973,2020,07/07/2021,Hartford,95 VINE ST,825510.00,1550000.00,0.5325,Apartments,,25 - Other,LOW INCOME HOUSING,,POINT (-72.68822 41.78222)
200573,2020,09/16/2021,Guilford,199 FITCH HILL RD,224710.00,419000.00,0.5363,Residential,Single Family,,,,POINT (-72.72315 41.37291)
200576,2020,06/02/2021,Enfield,61 SIMON RD,111460.00,189000.00,0.5897,Residential,Single Family,25 - Other,CONDITION,,
200941,2020,09/29/2021,Enfield,313 ASHMEAD COMMONS,77430.00,160000.00,0.4839,Residential,Condo,,,,POINT (-72.54719 42.02528)
200288,2020,01/15/2021,Enfield,14 ASNUNTUCK ST,98720.00,98000.00,1.0073,Residential,Two Family,25 - Other,POOR CONDITION,,
200475,2020,09/23/2021,Killingly,380 VALLEY RD,106400.00,250000.00,0.4256,Residential,Single Family,,,,
200826,2020,05/24/2021,Bristol,75 EMILY LN,109900.00,240000.00,0.4579,Residential,Single Family,,,,
200262,2020,07/02/2021,Colchester,327 NEW LONDON RD,89900.00,250000.00,0.3596,Commercial,,,,,
201539,2020,08/04/2021,Greenwich,111 CLAPBOARD RIDGE ROAD,2061780.00,3600000.00,0.5727,Residential,Single Family,25 - Other,NOT LISTED,,
200691,2020,08/17/2021,Groton,3 SPYGLASS CIR,125370.00,275000.00,0.455890909,Residential,Condo,,,,POINT (-72.05232 41.36644)
2020126,2020,01/04/2021,Berlin,10 MAIN STREET UNIT 216,135700.00,231500.00,0.5861,Residential,Condo,,,,POINT (-72.77893 41.6307)
200008,2020,10/01/2020,Bridgeport,123 FOLINO DR,164920.00,290000.00,0.5686,Residential,Single Family,,,,POINT (-73.2354 41.22186)
200035,2020,10/16/2020,Glastonbury,45 CIDER MILL RD,236300.00,358000.00,0.66,Residential,Single Family,,,,
200871,2020,04/27/2021,Danbury,2 CREST AV,160200.00,370000.00,0.432972973,Residential,Single Family,,I05185,GOOD SALE PER MLS,POINT (-73.44654 41.44203)
200020,2020,10/16/2020,Litchfield,35 BUELL RD SO,315910.00,600000.00,0.5265,Residential,Single Family,28 - Use Assessment,ALSO INCLUDES BUELL RD SO,,
200166,2020,11/03/2020,Danbury,34A PADANARAM RD 119,65600.00,119000.00,0.5512,Residential,Condo,,H10080-19,,POINT (-73.4914 41.43583)
200051,2020,03/12/2021,East Granby,1 & 5 KIRKSTONE,142800.00,170000.00,0.84,Vacant Land,,,"PP TOO LOW, RATIO TOO HIGH 2 VACANT LOTS",,
200072,2020,10/27/2020,Groton,77 DEERFIELD RIDGE DR,177870.00,335000.00,0.530955224,Residential,Single Family,,,,
20029,2020,02/17/2021,Eastford,272 OLD COLONY RD,147760.00,265000.00,0.5575,Residential,Single Family,,,,POINT (-72.07709 41.9014)
200391,2020,06/17/2021,Guilford,568 NO MADISON RD,134100.00,326000.00,0.411349693,Residential,Single Family,07 - Change in Property,,HAS CENTRAL A/C PER MLS,
200125,2020,09/07/2021,Harwinton,167 BIRGE PARK RD,194790.00,360000.00,0.541,Residential,Single Family,,,,
200144,2020,12/24/2020,East Lyme,26 LATIMER DR,151900.00,309900.00,0.4901,Residential,Single Family,,,,
200627,2020,03/19/2021,Manchester,12 CROSBY ROAD,101300.00,210000.00,0.4823,Residential,Single Family,,,,POINT (-72.50038 41.78782)
200035,2020,10/19/2020,East Haven,38 BISHOP ST,155420.00,210000.00,0.74,Residential,Single Family,,,,POINT (-72.87556 41.27725)
200189,2020,12/14/2020,Branford,195 PINE ORCHARD RD,237600.00,570000.00,0.4168,Residential,Single Family,,,,POINT (-72.78291 41.27137)
2000230,2020,03/16/2021,Cheshire,50 ABBEY CT,210940.00,365000.00,0.5779,Residential,Single Family,,,,
200439,2020,06/08/2021,Farmington,4-C STAUNTON COURT,104020.00,160000.00,0.6501,Residential,Condo,,,,
2000385,2020,09/13/2021,Bloomfield,5 JONATHAN PLACE,139720.00,251500.00,0.5555,Residential,Single Family,,,,POINT (-72.73451 41.84763)
200000352,2020,07/29/2021,Brookfield,26 ACORN LN,95040.00,250000.00,0.38016,Residential,Condo,,,GOOD SALE PER MLS,
20091,2020,05/17/2021,Lebanon,344 LAKESIDE DR,172700.00,130000.00,1.3284,Residential,Single Family,08 - Part Interest,,,POINT (-72.22572 41.54816)
200000372,2020,08/16/2021,Brookfield,64 OLD BRIDGE RD,410680.00,640000.00,0.6416,Residential,Single Family,,,,POINT (-73.39233 41.51242)
2000192,2020,04/13/2021,Bloomfield,168 THISTLE POND DRIVE,198730.00,350000.00,0.5678,Residential,Condo,,,,POINT (-72.75665 41.83485)
200036,2020,07/15/2021,Chaplin,9 MT LAUREL LA,112900.00,270000.00,0.4181,Residential,Single Family,07 - Change in Property,,,
200660,2020,07/01/2021,Enfield,59 MIDDLE RD,9140.00,900000.00,0.010155556,Vacant Land,,28 - Use Assessment,,,
20057,2020,03/29/2021,Ashford,"SECKAR RD, M/B/L 23/D/4",66300.00,70000.00,0.9471,Vacant Land,,,BUILDING LOT ON AMIDON POND,,POINT (-72.20888 41.8942)
200127,2020,02/04/2021,Cromwell,44 CEDAR LAND COURT,81060.00,143000.00,0.566853147,Residential,Condo,25 - Other,ESTATE,,POINT (-72.68307 41.60321)
200016,2020,11/02/2020,Bethany,62 HUMISTON DR,281290.00,560000.00,0.5023,Residential,Single Family,,,,POINT (-72.97722 41.44831)
200031,2020,12/16/2020,Bethlehem,15 TULIP TREE LANE,207000.00,335000.00,0.6179,Residential,Condo,01 - Family,FAMILY SALE,,POINT (-73.18916 41.6129)
200709,2020,04/16/2021,Manchester,152 GREEN ROAD,138100.00,282500.00,0.488849558,Residential,Single Family,,,,
2000311,2020,05/11/2021,Cheshire,152 TALMADGE RD,157100.00,340000.00,0.462,Residential,Single Family,,,,
200061,2020,04/13/2021,Bethlehem,112 WEEKEEPEEMEE RD,170600.00,324000.00,0.5265,Residential,Single Family,,,,
